FID,ogc_fid,id,sagsnr,type,status,oprettet,vejnavn,hus_nr_fra,hus_nr_til,postnr,postnavn,grave_type,grave_art,grave_formaal,projekt_start,projekt_slut,tidsrum_fra,tidsrum_til,bygherre,bygherre_kontakt,bygherre_telefon,entreprenoer_navn,entreprenoer_kontakt,ansoeger_navn,ansoeger_kontaktpers,ansoeger_kontakttele,eksporteret,parkeringspaavirkning,wkb_geometry
erhv_gravetilladelser_aktiv.fid-6d13ff8f_169f56802bf_-7c60,24,74305,194585,Gravetilladelser,Godkendt,2018-05-28T09:02:10.863,A.C. Meyers Vænge,4,14,2450,København SV,Kørebane,"Spildevand, stikledning",Etablering,2018-05-28,2019-04-30,,,Enemærke og Petersen A/S,,,BRDR. K. HANSEN A/S,,Brdr. K. Hansen A/S,,,2019-04-04T01:23:38.44,,POINT (722928.31 6173172.15)
erhv_gravetilladelser_aktiv.fid-6d13ff8f_169f56802bf_-7c5f,25,35360,163752,Gravetilladelser,Godkendt,2017-11-10T10:14:59.57,A.C. Meyers Vænge,5,9,2450,København SV,Kørebane,Midlertidig Overkørsel,Nyanlæg,2017-11-13,2019-12-31,06:00,19:00,MT HØJGAARD A/S,,,ENEMÆRKE & PETERSEN A/S KLOSTERGÅRDEN POSTBOKS 252,,Enemærke & Petersen a/s,,,2019-04-04T01:23:19.607,,POINT (722942.66 6173097.7)
erhv_gravetilladelser_aktiv.fid-6d13ff8f_169f56802bf_-7c5e,29,80252,245304,Gravetilladelser,Godkendt,2019-04-02T09:31:55.81,A.C. Meyers Vænge,8,,2450,København SV,Fortov,EL,Kabelfejl,2019-04-02,2019-04-19,,,Radius,,,KEMP & LAURITZEN A/S -Albertslund,,Kemp-Lauritzen,,,2019-04-04T01:24:11.79,0,POINT (722937.93 6173146.24)
erhv_gravetilladelser_aktiv.fid-6d13ff8f_169f56802bf_-7c5d,111,504,240076,Gravetilladelser,Godkendt,2019-03-05T13:01:31.07,Absalonsgade,1,43,1658,København V,"Kørebane, P-Areal",Vand,Renovering,2019-03-06,2019-04-26,07:00,19:00,HOFOR A/S,,,NCC Danmark A/S,,NCC DANMARK A/S,,,2019-04-04T01:24:08.33,20,POINT (723474.9 6175334.92)
erhv_gravetilladelser_aktiv.fid-6d13ff8f_169f56802bf_-7c5c,116,504,242702,Gravetilladelser,Godkendt,2019-03-19T10:19:11.22,Absalonsgade,1,43,1658,København V,"Kørebane, P-Areal, Cykelsti, Fortov",Vand,Renovering,2019-03-13,2019-05-31,07:00,19:00,HOFOR A/S,,,NCC Danmark A/S,,NCC DANMARK A/S,,,2019-04-04T01:24:10.347,50,POINT (723474.9 6175334.92)
erhv_gravetilladelser_aktiv.fid-6d13ff8f_169f56802bf_-7c5b,170,560,244748,Gravetilladelser,Godkendt,2019-03-28T14:48:10.677,Absalonsgade,9,17,1658,København V,"Kørebane, P-Areal",Vand,Fornyelse,2019-04-01,2019-04-19,07:00,19:00,HOFOR A/S,,,NCC Danmark A/S,,NCC DANMARK A/S,,,2019-04-04T01:24:11.45,25,POINT (723497.88 6175251.12)
erhv_gravetilladelser_aktiv.fid-6d13ff8f_169f56802bf_-7c5a,326,621,236621,Gravetilladelser,Godkendt,2019-02-11T14:49:13.54,Agerbo,14,24,2300,København S,"Kørebane, Fortov",Fibernet,Nyanlæg,2019-02-25,2019-04-30,,,TDC A/S,,,Transtema ApS,,ApS STM nr. 6235,,,2019-04-04T01:24:05.87,0,POINT (725901.87 6172366.28)
erhv_gravetilladelser_aktiv.fid-6d13ff8f_169f56802bf_-7c59,333,701,238721,Gravetilladelser,Godkendt,2019-02-25T13:00:13.737,Agerlandsvej,1,57,2300,København S,"Kørebane, Fortov",Fibernet,Nyanlæg,2019-03-18,2019-05-31,,,TDC A/S,,,Transtema ApS,,ApS STM nr. 6235,,,2019-04-04T01:24:07.337,0,POINT (726452.13 6171986.96)
erhv_gravetilladelser_aktiv.fid-6d13ff8f_169f56802bf_-7c58,486,991,243588,Gravetilladelser,Godkendt,2019-03-25T05:50:25.797,Allersgade,8,8,2200,København N,"Fortov, Grønt areal, Tættere end 4 m på træer",Vand,Etablering,2019-03-27,2019-04-27,07:00,15:30,Sydkystens Brolægning & Kloak v/Tom Ewers,,,Sydkystens Brolægning & Kloak v/Tom Ewers,,Sydkystens Brolægning & Kloak v/Tom Ewers,,,2019-04-04T01:24:10.697,0,POINT (722894.48 6178043.23)
erhv_gravetilladelser_aktiv.fid-6d13ff8f_169f56802bf_-7c57,487,76808,239939,Gravetilladelser,Godkendt,2019-03-04T14:43:48.943,Alliancevej,1,7,2450,København SV,"Kørebane, P-Areal, Fortov",Brolægningsarbejder,Nyanlæg,2019-03-05,2019-04-30,07:00,15:00,BY og Havn,,,CG JENSEN A/S - Fabriksparken v. Glostrup,,CG Jensen A/S,,,2019-04-04T01:24:08.203,0,POINT (723456.07 6172724.57)
