FID,areal_id,park_id,navn_arealer,key_field_arealer,key_field_parker,parknummer,parktype,navn_parker,undernavn,bydelsnavn,ejerforhold,ejer,areal,fredning,fredning_beskriv,fredning_bygning,fredning_fortid,udviklingsplan,udviklingsaar,besoegstal,brugerunder,beskrivelse,link,opland_300,opland_875,registreringsdato,rettelsesdato,wkb_geometry
parkregister.1,41,304,Sundby Kirke,9015,9015,304,Andet grønt område,Sundby Kirke,Areal,Amager Øst,Københavns Kommune,TMF,1498.6,Nej,,Nej,Nej,Nej,,,Nej,,,7671,44539,,,"MULTIPOLYGON (((726789.71 6174246.43, 726781.3200000001 6174240.22, 726777.3100000011 6174237.69, 726777.41 6174235.88, 726772.92 6174232.53, 726772.49 6174229.46, 726774.72 6174226.38, 726767.9400000001 6174221.2, 726765.61 6174224.23, 726762.41 6174224.56, 726758.23 6174221.36, 726761.9400000001 6174216.4, 726753.97580033 6174209.98522049, 726756.263307389 6174205.71205219, 726764.0511739741 6174195.69873608, 726769.644314382 6174200.92328285, 726768.340691736 6174202.34612415, 726788.0961886389 6174220.96471901, 726789.55009809 6174219.47981954, 726803.28146349 6174232.61125324, 726790.4707586389 6174246.68439158, 726789.71 6174246.43)), ((726760.437 6174192.085, 726761.78 6174193.36, 726747.81 6174210.71, 726743.88 6174214.35, 726740.493154351 6174211.7251502, 726743.183000001 6174208.227, 726755.4397734291 6174192.40038396, 726760.437 6174192.085)), ((726739.11 6174213.48, 726742.21 6174216.03, 726740.43 6174220.23000001, 726726.35430287 6174238.57491848, 726723.374081612 6174236.24513405, 726723.114330288 6174234.04911374, 726739.11 6174213.48)), ((726741.283785174 6174249.24300323, 726729.239646646 6174240.55586011, 726741.17 6174226.03, 726748.03 6174230.95, 726748.392895217 6174240.31773079, 726741.283785174 6174249.24300323)), ((726751.62029182 6174242.69441452, 726750.373453902 6174241.65771453, 726749.9579442571 6174232.09128651, 726753.02 6174228.23, 726757.22 6174231.47, 726757.56 6174234.77, 726755.42 6174237.6, 726751.62029182 6174242.69441452)))"
parkregister.2,42,114,Amorparken,2004,2004,114,Lokale parker,Amorparken,Amorparken,Østerbro,Københavns Kommune,TMF,34110.898,Nej,,Nej,Nej,Nej,,,Nej,"Offentlig park, udsprunget af symmetrisk haveanlæg. Området indeholder mange store værdifulde træer, foruden busketter og græsplæner. Parken er lang og smal og strækker sig langs med Tagensvej, med de største træer i hver sin ende. Midterpartiet er mere åbent med store træer, busketter og overdækkede dækningsgrave. Alle stier er lagt med grus. I den nordlige ende et mindre legeareal.",,4020,37187,,,"MULTIPOLYGON (((724170.902 6177836.268, 724159.437 6177847.634, 724146.5700000001 6177859.388, 724128.494 6177876.92000001, 724103.822 6177900.447, 724093.199 6177910.366, 724068.728 6177934.109, 724055.943 6177945.953, 724034.853 6177966.526, 724024.282 6177976.56500001, 724008.597 6177991.497, 723977.198 6178022.07, 723963.744 6178034.542, 723954.486 6178043.58400001, 723935.383 6178061.773, 723930.546 6178066.851, 723918.137 6178078.158, 723882.118 6178112.703, 723867.025 6178127.46, 723860.301 6178133.66600001, 723845.728 6178147.677, 723842.728 6178150.248, 723839.13 6178146.415, 723834.47953596 6178142.86302945, 723833.514 6178065.181, 723835.626000001 6178063.02300001, 723838.822 6178058.94900001, 723841.421 6178054.47100001, 723843.376 6178049.674, 723844.647 6178044.654, 723872.06 6178015.305, 723883.951055436 6178002.35068628, 723895.34 6177989.602, 723902.216 6177981.275, 723910.864 6177971.842, 723920.0300000011 6177962.91, 724075.557 6177816.345, 724103.608 6177793.906, 724130.339 6177794.332, 724136.652 6177788.782, 724165.696 6177819.704, 724165.168 6177830.161, 724170.902 6177836.268)))"
parkregister.3,43,153,Asnæsgade,3030,3030,153,Andet grønt område,Asnæsgade,Plæne,Nørrebro,Københavns Kommune,TMF,772.79999,Nej,,Nej,Nej,Nej,,,Nej,"Arealet er en grøn plads, indhegnet og omkranset af veje og parkering uden mellemliggende fortov til alle sider, undtaget mod Udbygade.",,6298,41895,,,"MULTIPOLYGON (((723216.137812971 6177847.74329415, 723217.7942587871 6177843.37733399, 723225.2975139851 6177825.44457194, 723262.607742667 6177843.13069303, 723258.4233970831 6177855.41482855, 723228.033952228 6177849.9232211, 723216.137812971 6177847.74329415)))"
parkregister.4,48,156,Guldbergs Plads,3015,3015,156,Lokale parker,Guldbergs Plads,Anlæg og Legeplads,Nørrebro,Københavns Kommune,TMF,6127.7002,Nej,,Nej,Nej,Nej,,,Nej,"Betydningsfuld central plads, der siden 1988 har været ét samlet indhegnet offentligt rekreativt område. Den nordlige del er parkanlæg, mens den sydlige del er grusbelagt legeareal. I begge afdelinger er dækningsgrave. På det tidligere gadeareal er etableret en indhegnet boldbane og en særlig opholdsplads, desuden en indhegnet hundeløbegård med tilhørende hundetoilet.",,8519,38958,,,"MULTIPOLYGON (((723355.130191584 6178146.49769427, 723331.502137168 6178160.0491139, 723328.945697554 6178159.36232842, 723313.553213906 6178132.05447449, 723310.228 6178126.726, 723309.0500000011 6178124.753, 723301.789 6178111.298, 723300.678 6178109.416, 723298.936 6178106.119, 723296.14 6178098.264, 723294.618 6178090.75, 723292.781 6178061.947, 723292.568 6178049.197, 723302.15660341 6178049.00775658, 723351.4285564941 6178050.29485406, 723362.623000001 6178050.193, 723363.517 6178088.031, 723363.712 6178090.23, 723362.523 6178107.499, 723362.224647508 6178109.36632775, 723360.9390867611 6178115.9485019, 723355.130191584 6178146.49769427)))"
parkregister.5,51,181,Hillerødgade,3020,3020,181,Andet grønt område,Hillerødgade,Anlæg ved skolen,Nørrebro,Københavns Kommune,TMF,726.40002,Nej,,Nej,Nej,Nej,,,Nej,,,5087,37104,,,"MULTIPOLYGON (((722396.649733449 6178029.04454595, 722375.687 6178023.162, 722374.992251059 6178022.92322999, 722370.165 6178016.72, 722370.39789885 6178009.59028288, 722370.156463398 6178004.14139901, 722369.653469798 6177997.95450971, 722368.685759508 6177987.59792455, 722371.984754887 6177987.66313595, 722371.920328049 6177991.73244031, 722377.7080945781 6177991.90887152, 722377.557855607 6178000.62328108, 722397.10106247 6178001.14964801, 722396.649733449 6178029.04454595)))"
parkregister.6,52,136,Keldsøvej-Bredelandsvej,8036,8036,136,Andet grønt område,Keldsøvej-Bredelandsvej,Parkanlæg og boldbaner,Bispebjerg,Københavns Kommune,TMF,27764.5,Nej,,Nej,Nej,Nej,,,Nej,"Parkrummet består af to græsklædte arealer der grænser op til hinanden med randbeplantning af træer, busketter og hække. Parkanlægget benyttes overordnet til boldspil.",,2376,13134,,,"MULTIPOLYGON (((722837.039247013 6180448.05424343, 722833.98308711 6180438.89625309, 722818.2478616689 6180385.37880915, 722798.3289010341 6180317.18002255, 722778.928451948 6180323.25560686, 722688.0355522861 6180349.88624483, 722667.434675914 6180287.04752323, 722676.620844498 6180268.68616163, 722707.8440656819 6180206.27794144, 722782.2226061489 6180248.79988818, 722784.1731026251 6180249.97690624, 722788.886236228 6180253.14931654, 722793.3638835989 6180256.64519767, 722797.5853808749 6180260.44713436, 722801.529083973 6180264.53669151, 722805.174388361 6180268.89345387, 722810.188565933 6180275.91431613, 722814.441835753 6180283.42132565, 722817.885839063 6180291.33049362, 722819.817855414 6180297.13495059, 722823.408245381 6180309.52976144, 722900.53612856 6180286.83167055, 722937.349722042 6180414.85991482, 722937.3553871859 6180414.92755321, 722937.3147965281 6180415.05780158, 722934.775074371 6180419.6473832, 722934.686978064 6180419.75168226, 722934.5656925311 6180419.81430892, 722837.039247013 6180448.05424343)))"
parkregister.7,56,141,Lundehusskoven,8012,8012,141,Andet grønt område,Lundehusskoven,Parkareal,Bispebjerg,Københavns Kommune,TMF,2811.7,Ja,1969,Nej,Nej,Nej,,,Nej,,,670,6283,,,"MULTIPOLYGON (((723292.399 6180917.632, 723293.565 6180917.257, 723299.627641048 6180917.61040395, 723299.483158441 6180928.44286064, 723300.6608408861 6180928.26617797, 723302.834577751 6180928.17112161, 723304.169755866 6180928.34058377, 723305.06952463 6180928.67350463, 723306.465907321 6180929.49143425, 723307.384242418 6180930.20086936, 723308.189342302 6180932.63974872, 723308.427980602 6180932.91557264, 723316.712679027 6180932.33714862, 723316.840029406 6180932.01854555, 723317.222872018 6180931.2248034, 723317.610766371 6180930.22608132, 723318.0729645571 6180929.41590172, 723318.618659145 6180928.83546118, 723319.738673526 6180928.30039929, 723321.753831635 6180928.02913765, 723328.988621914 6180927.77908301, 723329.123296608 6180927.49463135, 723345.779 6180927.428, 723345.955 6180970.688, 723277.58 6180971.284, 723283.3150394231 6180946.57155155, 723289.082 6180921.615, 723289.783162579 6180918.95828852, 723292.399 6180917.632)))"
parkregister.8,57,162,Metropolitanskolen,3023,3023,162,Andet grønt område,Metropolitanskolen,Grusanlæg,Nørrebro,Københavns Kommune,TMF,674.79999,Nej,,Nej,Nej,Nej,,,Nej,Halvcirkelformet indhegnet prydplæne opad nordvestgavlen på Metropolitanskolen. Arealet ligger omkranset af veje til to sider.,,5338,30363,,,"MULTIPOLYGON (((722821.68038271 6177219.46269718, 722828.560510891 6177215.44165337, 722831.386054261 6177219.89919007, 722829.866 6177220.79700001, 722825.976 6177222.565, 722820.71 6177224.166, 722817.866 6177224.717, 722816.074 6177225.003, 722814.717 6177225.08, 722812.114 6177225.173, 722810.446 6177225.114, 722806.084 6177224.476, 722793.756 6177220.854, 722792.426 6177219.951, 722791.609 6177219.088, 722791.322 6177218.636, 722791.7280000009 6177217.62400001, 722792.069 6177217.19800001, 722793.105 6177216.663, 722793.387619369 6177216.56030564, 722802.4718037989 6177186.74865985, 722806.934162711 6177194.34880842, 722807.0641307371 6177194.2722685, 722817.1276428819 6177211.49851952, 722817.033599055 6177211.54869246, 722821.68038271 6177219.46269718)))"
parkregister.9,58,163,Prinsesse Charlottes Gade,3029,3029,163,Andet grønt område,Prinsesse Charlottes Gade,Boldbane,Nørrebro,Københavns Kommune,TMF,1445.3,Nej,,Nej,Nej,Nej,,,Nej,"Arealet er lagt til boldspil. Opstribede asfaltbaner bag 3 meter højt fletværkshegn, omkranset af bevoksning.",,4898,45165,,,"MULTIPOLYGON (((723322.437499559 6177621.83017247, 723310.838459471 6177608.91757938, 723322.986345752 6177596.74319031, 723337.624827339 6177581.16731041, 723344.383360058 6177588.6811016, 723362.831254432 6177608.52504838, 723346.151964809 6177626.27508264, 723336.107908317 6177637.16527632, 723322.437499559 6177621.83017247)))"
parkregister.10,59,164,Ravnsborggade-Sankt Hans Gade,3027,3027,164,Andet grønt område,Ravnsborggade,Legeplads,Nørrebro,Københavns Kommune,TMF,601.09998,Nej,,Nej,Nej,Nej,,,Nej,Arealet anvendes til midlertidig offentlig legeplads. Pladsen ligger ud mod vej til 2 sider.,,5598,33390,,,"MULTIPOLYGON (((723923.649913982 6177298.2731981, 723940.584 6177284.265, 723957.23 6177306.522, 723939.499041313 6177319.84482339, 723923.649913982 6177298.2731981)))"
